               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088177,            0.016844,                   0,             0.14035,             0.12921,            0.055009,            0.024794,            0.069771,            0.013397,                   0,            0.070042,           0.0033287,           0.0033287
                   1,            0.069492,            0.015678,                   0,             0.19089,             0.24331,            0.089162,            0.042972,            0.065183,            0.012757,                   0,             0.03991,           0.0065301,           0.0065301
                   2,            0.067978,             0.01526,                   0,             0.16986,             0.24589,            0.076251,            0.036367,            0.065183,            0.013099,                   0,           0.0096461,           0.0095995,           0.0095995
                   3,            0.067351,            0.015459,                   0,             0.17546,             0.24432,            0.080144,            0.039799,            0.063648,            0.012898,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.065185,            0.015525,                   0,             0.18807,             0.24432,             0.09482,            0.047796,            0.062023,            0.012668,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.064587,             0.01551,                   0,             0.18033,              0.2686,            0.095459,            0.050377,            0.061697,            0.012708,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.063393,            0.015541,                   0,             0.18642,             0.27408,             0.10171,            0.054368,            0.061404,              0.0128,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.062135,            0.015548,                   0,             0.18894,             0.26625,            0.099303,            0.053946,            0.060859,            0.012776,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.061874,            0.015243,                   0,              0.1993,             0.27173,             0.10387,            0.055595,            0.060659,             0.01263,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.062015,            0.015241,                   0,             0.20268,             0.27721,             0.10787,            0.059622,            0.060062,            0.012648,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.061192,            0.015489,                   0,             0.19612,             0.27565,             0.11116,            0.059807,            0.059537,            0.012672,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.060422,            0.015573,                   0,             0.19462,             0.27251,             0.10864,            0.060139,            0.058945,            0.012836,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.060301,            0.015491,                   0,             0.16905,             0.28974,             0.10378,            0.060913,            0.059998,            0.012918,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.05962,            0.015489,                   0,             0.19713,             0.29522,             0.10837,            0.059283,            0.059029,            0.012619,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.059331,            0.015437,                   0,              0.1969,             0.28269,             0.11104,            0.062853,            0.059051,            0.012785,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.059148,            0.015339,                   0,             0.21121,             0.27762,             0.11555,            0.064427,            0.058677,            0.012566,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.058679,            0.015487,                   0,             0.19033,             0.29757,             0.11013,            0.061504,            0.058646,            0.012808,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.058165,            0.015408,                   0,             0.20588,             0.30227,             0.11756,            0.065736,            0.058721,            0.012535,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.058468,            0.015514,                   0,             0.19518,             0.30005,             0.11055,            0.061782,            0.058748,            0.012623,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.058184,            0.015395,                   0,               0.194,             0.29914,             0.11448,            0.064156,             0.05819,            0.012623,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.057416,            0.015353,                   0,             0.20289,             0.28269,             0.12012,            0.068457,            0.057965,            0.012513,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.057293,            0.015222,                   0,             0.20721,             0.30149,             0.12124,            0.070609,            0.057977,            0.012575,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.057109,            0.015322,                   0,             0.20041,             0.30462,             0.11931,            0.069417,            0.057735,            0.012629,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.056421,            0.015556,                   0,             0.19981,             0.28822,             0.11582,            0.066855,            0.057918,            0.012653,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.055935,            0.015398,                   0,             0.20659,             0.30149,             0.12057,            0.069341,            0.058239,            0.012703,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.055435,            0.015559,                   0,             0.21574,             0.29601,             0.12499,            0.071086,            0.057894,              0.0127,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.055292,            0.015447,                   0,             0.21859,              0.3007,             0.12571,            0.071113,            0.057662,             0.01268,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.054837,            0.015522,                   0,             0.21079,             0.29287,             0.12208,            0.067751,            0.057384,            0.012728,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.054941,            0.015293,                   0,             0.20943,             0.29836,             0.12004,            0.068244,            0.057858,            0.012628,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.054384,            0.015625,                   0,             0.21015,             0.29131,             0.12192,            0.070553,            0.058058,            0.012801,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.054066,            0.015471,                   0,             0.21039,             0.29232,             0.12025,            0.068224,            0.057533,            0.012636,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.053519,             0.01541,                   0,              0.2092,             0.28426,             0.12303,             0.07068,            0.057777,            0.012659,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.053076,            0.015346,                   0,             0.21305,             0.28583,             0.12337,            0.070588,            0.057938,            0.012655,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.052985,            0.015372,                   0,             0.20879,             0.28191,             0.11896,            0.067971,            0.058629,            0.012693,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.052096,            0.015344,                   0,             0.20814,             0.28583,             0.12232,            0.068966,            0.058122,            0.012655,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.051685,            0.015252,                   0,             0.21759,             0.28504,             0.12661,            0.071805,            0.058189,            0.012508,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.051532,            0.015159,                   0,             0.22022,             0.29444,             0.12789,            0.072916,            0.058219,            0.012546,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.051094,            0.015111,                   0,             0.22307,             0.28896,             0.12404,             0.07162,            0.058129,            0.012559,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.050574,            0.015025,                   0,             0.21991,             0.27643,              0.1251,            0.071887,            0.058132,            0.012615,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.049741,            0.015083,                   0,             0.21128,             0.29287,             0.12643,            0.072371,            0.058158,            0.012596,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.049055,            0.015128,                   0,             0.21401,             0.28661,             0.12582,            0.071729,            0.058245,             0.01261,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.048623,            0.014975,                   0,             0.21076,             0.28974,             0.12505,            0.072878,            0.058397,            0.012574,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.048331,            0.015116,                   0,             0.21578,             0.28269,              0.1266,            0.074033,            0.058631,             0.01254,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.047695,            0.014847,                   0,             0.21487,             0.27603,             0.12046,            0.069148,            0.058906,            0.012565,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.047109,            0.014912,                   0,             0.21037,             0.28426,             0.12481,            0.072531,            0.058943,             0.01256,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.046928,            0.014739,                   0,             0.20017,             0.28739,             0.11906,            0.068232,            0.059103,             0.01262,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.04593,            0.014682,                   0,             0.21255,             0.28034,              0.1183,            0.067894,            0.059267,            0.012579,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.045314,            0.014576,                   0,             0.20616,             0.29131,             0.11309,             0.06496,            0.059749,            0.012614,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.045002,            0.014514,                   0,             0.20133,             0.29444,             0.11399,            0.066287,            0.059711,            0.012643,                   0,            0.000694,            0.000694,            0.000694
                  49,             0.04461,            0.014339,                   0,             0.19792,               0.278,             0.11111,            0.063779,            0.059811,            0.012677,                   0,            0.000496,            0.000496,            0.000496
