               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10061,            0.017225,                   0,          0.00054294,             0.16288,          0.00032362,          9.2991e-05,            0.097582,            0.013464,                   0,            0.070042,           0.0033287,           0.0033287
                   1,            0.096203,            0.016079,                   0,          0.00067448,             0.20047,          0.00078242,          0.00019661,            0.090789,            0.014562,                   0,            0.039976,           0.0065961,           0.0065961
                   2,            0.088589,            0.016674,                   0,           0.0062932,            0.079092,           0.0028502,           0.0011661,            0.089549,            0.014016,                   0,            0.009844,           0.0097974,           0.0097974
                   3,            0.083626,            0.016393,                   0,             0.11467,             0.08379,            0.026297,            0.011871,            0.080022,            0.013734,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.079783,            0.016266,                   0,             0.12252,             0.13861,            0.033793,            0.013473,            0.075099,            0.014121,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.078193,            0.016206,                   0,             0.15183,             0.15818,            0.043498,            0.020461,            0.073011,            0.013862,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.075233,            0.016315,                   0,             0.13375,             0.14722,            0.043188,            0.020331,            0.072362,            0.013648,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.073868,            0.016241,                   0,              0.1435,             0.18276,            0.052189,            0.025324,            0.069987,            0.013612,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.072917,            0.015958,                   0,             0.16367,             0.19264,            0.059535,            0.028193,            0.069618,            0.013344,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.07236,            0.015883,                   0,             0.12669,             0.20047,            0.051515,            0.025429,            0.068983,            0.013625,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.071123,            0.016122,                   0,             0.14706,              0.2036,            0.064309,            0.032494,            0.067642,            0.013403,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.070357,            0.016161,                   0,              0.1584,             0.19499,            0.061627,            0.032067,            0.067028,            0.013324,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.069849,            0.016064,                   0,              0.1619,             0.21065,            0.060966,            0.031102,            0.066976,            0.013281,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.06908,            0.016045,                   0,             0.16459,             0.21222,            0.071611,            0.037648,            0.066495,            0.013174,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.06904,            0.015956,                   0,             0.15929,             0.21378,            0.069973,            0.036186,            0.065897,             0.01325,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.068636,            0.015759,                   0,             0.16595,             0.20987,            0.076227,            0.041592,            0.065012,             0.01315,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.068326,            0.015986,                   0,              0.1582,             0.24354,            0.069358,            0.036307,            0.064758,            0.013162,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.067653,             0.01589,                   0,             0.18503,             0.22709,            0.074909,            0.038441,            0.064821,            0.013229,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.067795,            0.015938,                   0,             0.18171,             0.23493,            0.077274,             0.03873,            0.064034,            0.013041,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.067562,            0.015829,                   0,             0.17596,             0.22396,            0.075586,            0.041206,            0.063616,            0.013225,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.066993,            0.015856,                   0,              0.1799,             0.22788,            0.078259,            0.042042,            0.063993,            0.013078,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.066859,            0.015694,                   0,             0.18155,             0.22944,            0.079595,            0.042668,             0.06303,            0.013064,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.066728,            0.015726,                   0,             0.18092,             0.24745,            0.080625,            0.043118,            0.063117,            0.012995,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.066358,            0.015984,                   0,             0.17902,             0.23884,            0.082666,            0.045805,            0.062777,            0.013073,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.06606,            0.015793,                   0,             0.18116,             0.24354,            0.080931,            0.044117,            0.062687,            0.012926,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.065686,            0.015918,                   0,               0.181,             0.24432,            0.083157,            0.044271,            0.062398,            0.013047,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.065529,            0.015802,                   0,             0.18732,             0.23176,            0.084855,            0.046133,            0.062002,               0.013,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.065102,            0.015965,                   0,             0.17964,             0.24745,            0.087481,            0.047189,            0.061662,            0.013002,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.065384,            0.015643,                   0,             0.18026,             0.24824,            0.088307,            0.049298,            0.062077,            0.012937,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.065243,            0.015916,                   0,             0.17642,             0.24041,            0.089278,            0.049704,            0.061706,            0.012979,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.064972,             0.01582,                   0,             0.19112,             0.26625,             0.09116,            0.049413,             0.06138,            0.012887,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.064348,            0.015763,                   0,             0.18335,             0.25372,             0.08914,            0.049271,            0.061213,            0.012915,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.064564,            0.015743,                   0,             0.18581,             0.26625,            0.093204,             0.05167,            0.061311,            0.012902,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.064582,            0.015773,                   0,             0.18143,             0.25372,            0.092162,            0.051085,            0.061232,            0.012905,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.064358,            0.015775,                   0,             0.19082,             0.24902,            0.095987,            0.053104,             0.06072,            0.012903,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.064005,            0.015748,                   0,             0.18934,             0.24432,             0.09142,            0.050626,            0.060761,            0.012866,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.064192,            0.015623,                   0,               0.189,             0.26233,             0.09523,            0.052418,            0.060513,             0.01285,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.064291,            0.015572,                   0,             0.19093,             0.25294,            0.098707,            0.055135,            0.060589,            0.012817,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.063718,            0.015532,                   0,             0.18437,             0.25136,            0.093556,             0.05245,            0.060394,            0.012934,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.063787,            0.015654,                   0,             0.18173,             0.24667,            0.096468,            0.054457,            0.060346,            0.012869,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.063044,            0.015809,                   0,             0.18491,              0.2639,            0.096711,            0.054319,            0.060477,            0.012818,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.063237,            0.015623,                   0,             0.18792,             0.24745,            0.096633,            0.053089,            0.060534,             0.01283,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.063321,            0.015813,                   0,             0.19756,             0.25215,             0.10223,            0.058897,            0.060263,            0.012798,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.063334,            0.015671,                   0,             0.19504,             0.25764,             0.10193,            0.056679,            0.060335,            0.012786,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.062925,             0.01569,                   0,             0.19228,             0.24589,             0.10205,            0.059088,            0.060127,            0.012803,                   0,            0.005743,            0.005743,            0.005743
