               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10082,            0.017998,                   0,          0.00051945,             0.15583,          0.00030625,          8.6682e-05,            0.097559,            0.013461,                   0,            0.070084,            0.003324,            0.003324
                   1,            0.095724,            0.016113,                   0,          0.00068124,             0.20282,          0.00072376,          0.00019818,            0.094767,            0.013452,                   0,            0.040018,           0.0065914,           0.0065914
                   2,            0.087983,            0.016627,                   0,            0.037836,            0.014879,           0.0049193,           0.0014123,            0.087024,             0.01436,                   0,            0.009886,           0.0097929,           0.0097929
                   3,            0.083025,              0.0163,                   0,            0.078071,            0.053714,            0.014509,           0.0051744,             0.08148,            0.013834,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.078925,            0.016177,                   0,             0.12819,             0.12608,            0.037869,            0.017245,            0.076054,            0.013641,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.076936,            0.016203,                   0,             0.13419,             0.13626,            0.042918,            0.020272,            0.073854,            0.013515,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.074516,            0.016174,                   0,             0.11806,             0.13861,            0.041235,            0.018888,             0.07374,            0.013625,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.073246,            0.016173,                   0,             0.16699,             0.16366,            0.058478,            0.028918,            0.070148,            0.013312,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.072062,            0.015965,                   0,             0.16457,             0.18011,            0.058471,            0.029302,            0.070167,            0.013323,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.071917,            0.015959,                   0,             0.15097,             0.21012,            0.060317,            0.030005,            0.069021,            0.013305,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.070793,            0.016198,                   0,             0.15619,             0.18756,            0.064129,            0.033229,            0.068303,            0.013187,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.070272,            0.016169,                   0,             0.18799,             0.19342,            0.068417,            0.034698,            0.067334,            0.013196,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.069541,            0.016051,                   0,             0.17503,             0.20595,            0.070303,            0.037388,            0.066568,            0.013057,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.069091,            0.016036,                   0,             0.15268,             0.21143,            0.066291,            0.034271,            0.066675,            0.013265,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.06877,            0.015926,                   0,             0.16678,             0.19969,            0.075868,            0.039918,            0.066735,            0.013037,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.068392,            0.015798,                   0,             0.17137,             0.22161,            0.074229,            0.038164,            0.065157,            0.012961,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.068051,            0.015986,                   0,             0.17549,             0.22318,            0.074343,            0.038849,            0.065042,             0.01302,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.067236,            0.015874,                   0,             0.17073,             0.21613,             0.07767,            0.040057,            0.064804,            0.012964,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.067704,            0.015873,                   0,             0.17386,             0.23336,             0.07553,            0.038996,            0.064565,            0.012939,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.067168,            0.015813,                   0,             0.16292,             0.23571,            0.075803,            0.038628,            0.064253,            0.012962,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.066843,             0.01579,                   0,             0.17561,             0.21065,            0.075646,            0.037809,            0.065099,            0.012982,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.066755,            0.015591,                   0,              0.1836,             0.22553,            0.080465,            0.043516,            0.063853,            0.012843,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.066196,            0.015687,                   0,             0.17664,             0.22709,            0.079598,            0.043253,            0.063546,            0.012859,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.066194,            0.015899,                   0,             0.17068,             0.23962,            0.079831,             0.04302,            0.063059,             0.01296,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.065775,            0.015754,                   0,             0.17275,             0.24667,            0.078176,            0.042054,            0.062795,            0.012933,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.065368,            0.015847,                   0,             0.18739,             0.23258,            0.081327,            0.043719,              0.0626,            0.012888,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.065139,             0.01575,                   0,             0.17437,             0.23962,            0.086367,            0.046792,            0.062198,            0.012852,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.065029,            0.015866,                   0,             0.18148,             0.23571,            0.084225,            0.045572,            0.062034,            0.012849,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.065343,             0.01554,                   0,             0.18439,             0.25137,            0.085463,            0.048862,            0.062246,            0.012848,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.065047,            0.015811,                   0,             0.18107,             0.24354,            0.087014,             0.04787,            0.062379,            0.012749,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.064668,             0.01571,                   0,              0.1873,             0.25215,            0.097002,            0.054449,            0.061899,            0.012689,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.064038,            0.015794,                   0,             0.18694,             0.24824,            0.087402,            0.048204,            0.061191,             0.01286,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.064505,            0.015647,                   0,             0.18315,              0.2498,             0.09006,            0.049437,            0.061194,            0.012786,                   0,            0.006931,            0.006931,            0.006931
