               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072106,             0.04034,            0.060983,             0.16583,             0.23403,              0.1329,             0.05879,            0.049727,            0.024596,            0.038062,            0.070058,           0.0033269,           0.0033269
                   1,             0.05249,            0.036821,            0.040252,             0.32975,             0.35464,             0.27918,              0.1309,            0.044611,            0.023102,            0.026402,            0.039992,           0.0065943,           0.0065943
                   2,            0.051745,            0.037651,            0.034733,             0.30875,             0.29755,             0.22241,            0.094569,             0.05021,            0.026997,            0.034021,             0.00986,           0.0097957,           0.0097957
                   3,            0.050845,            0.039375,            0.034043,             0.35475,             0.37494,             0.32242,             0.14461,             0.04732,             0.02442,            0.024834,            0.009703,            0.009703,            0.009703
                   4,             0.04872,            0.038603,            0.030934,             0.39793,             0.37437,             0.34335,             0.16245,            0.045556,            0.024787,            0.024451,            0.009703,            0.009703,            0.009703
                   5,            0.047059,            0.038108,            0.028844,             0.47551,             0.43504,             0.42301,             0.20602,            0.042717,            0.023866,            0.020007,            0.009604,            0.009604,            0.009604
                   6,            0.046194,            0.037574,            0.027664,             0.46942,             0.46242,             0.45286,             0.22513,            0.041663,            0.023781,            0.017702,            0.009505,            0.009505,            0.009505
                   7,            0.045522,            0.037815,            0.026518,             0.49238,             0.45676,             0.45983,             0.23143,            0.042395,            0.022801,            0.017332,            0.009406,            0.009406,            0.009406
                   8,            0.044897,            0.037352,            0.025905,             0.50246,             0.47289,             0.47412,             0.23939,            0.041041,            0.023729,            0.016816,            0.009307,            0.009307,            0.009307
                   9,            0.044256,            0.037468,            0.025046,              0.5222,             0.48722,             0.48412,             0.24375,            0.041145,            0.022912,            0.018036,            0.009208,            0.009208,            0.009208
                  10,            0.044001,            0.037219,            0.024415,             0.52218,             0.49079,             0.49262,             0.24812,            0.040357,            0.022842,            0.015974,            0.009109,            0.009109,            0.009109
                  11,            0.043692,            0.036841,             0.02364,             0.51752,             0.51032,             0.50647,             0.26274,            0.039902,            0.022464,            0.016686,             0.00901,             0.00901,             0.00901
                  12,            0.043299,            0.036471,            0.023562,              0.5357,             0.49953,              0.5116,             0.26779,            0.039457,            0.022508,            0.015495,            0.008911,            0.008911,            0.008911
                  13,            0.043248,            0.036389,            0.022887,              0.5468,             0.53661,             0.54624,             0.29005,             0.03889,            0.021935,            0.014658,            0.008812,            0.008812,            0.008812
                  14,            0.042826,            0.036282,            0.022532,             0.55038,              0.5213,              0.5367,             0.28654,            0.039015,            0.022194,            0.015265,            0.008713,            0.008713,            0.008713
                  15,            0.042654,            0.036207,            0.022236,              0.5621,             0.53387,             0.55364,             0.29736,            0.038553,            0.021937,            0.014198,            0.008614,            0.008614,            0.008614
                  16,            0.042395,            0.036632,            0.021726,             0.56973,             0.53102,             0.55182,             0.30055,              0.0384,            0.021775,            0.013871,            0.008515,            0.008515,            0.008515
                  17,            0.042276,            0.036765,            0.021514,             0.58722,             0.55757,             0.58291,             0.31692,            0.037669,            0.021913,            0.013192,            0.008416,            0.008416,            0.008416
                  18,            0.042138,            0.036132,            0.021323,             0.59012,             0.55762,              0.5848,             0.31974,            0.037589,            0.021701,            0.012441,            0.008317,            0.008317,            0.008317
                  19,            0.042091,            0.036398,            0.021142,             0.58606,             0.55174,             0.57091,             0.31157,            0.037919,            0.021534,            0.013106,            0.008218,            0.008218,            0.008218
                  20,            0.041496,            0.036142,            0.020453,             0.59999,             0.57327,             0.59428,             0.33079,            0.037348,            0.021499,            0.012436,            0.008119,            0.008119,            0.008119
                  21,             0.04135,            0.035548,            0.020291,             0.59461,             0.57888,             0.59561,             0.33091,            0.037218,            0.021483,            0.012476,             0.00802,             0.00802,             0.00802
                  22,            0.041316,            0.035745,            0.020391,             0.60934,             0.57303,             0.60617,              0.3382,            0.036932,            0.021347,            0.012147,            0.007921,            0.007921,            0.007921
