               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068598,            0.035532,            0.056065,             0.39824,             0.45588,             0.38363,             0.17045,             0.04755,            0.020472,            0.026799,            0.070058,           0.0033269,           0.0033269
                   1,            0.051685,            0.033778,            0.029699,             0.56091,             0.48359,              0.5067,             0.25154,            0.044342,            0.021045,            0.018995,            0.039992,           0.0065943,           0.0065943
                   2,            0.050836,            0.035453,            0.027461,             0.44362,             0.39841,             0.36469,             0.17135,            0.047208,            0.026858,            0.028002,             0.00986,           0.0097957,           0.0097957
                   3,            0.050301,            0.038036,            0.030024,              0.4768,             0.41756,             0.41198,              0.1988,            0.045942,            0.024146,             0.02389,            0.009703,            0.009703,            0.009703
                   4,            0.048218,            0.037324,            0.027819,             0.50242,              0.4494,             0.43367,             0.21539,            0.045208,             0.02472,            0.020586,            0.009703,            0.009703,            0.009703
                   5,            0.046638,            0.036958,            0.025808,              0.5685,             0.51313,             0.52836,             0.27861,            0.042009,            0.022341,            0.016906,            0.009604,            0.009604,            0.009604
                   6,            0.045538,              0.0363,            0.024712,             0.58432,             0.51732,             0.54604,             0.28445,            0.041754,            0.022068,            0.015764,            0.009505,            0.009505,            0.009505
                   7,            0.044749,            0.036412,            0.023191,              0.6137,             0.53568,              0.5635,             0.29988,            0.041403,            0.021828,            0.015883,            0.009406,            0.009406,            0.009406
                   8,            0.044153,             0.03592,            0.022772,             0.58892,             0.55505,             0.56564,             0.30678,              0.0406,              0.0221,            0.014418,            0.009307,            0.009307,            0.009307
                   9,            0.043672,            0.036137,            0.022148,              0.6267,             0.53993,             0.57465,             0.31227,            0.040561,            0.021556,            0.014187,            0.009208,            0.009208,            0.009208
                  10,            0.043333,            0.035822,            0.021519,             0.61891,              0.5578,             0.58752,              0.3236,            0.039564,            0.021492,            0.014114,            0.009109,            0.009109,            0.009109
                  11,            0.042926,            0.035501,            0.020865,             0.62774,             0.55656,             0.59319,             0.33105,            0.038985,            0.021409,            0.013897,             0.00901,             0.00901,             0.00901
                  12,            0.042693,             0.03514,            0.021015,             0.63816,             0.59609,             0.62416,             0.35236,            0.038536,            0.021179,             0.01214,            0.008911,            0.008911,            0.008911
                  13,            0.042521,            0.035069,            0.020131,             0.65299,             0.59474,             0.63383,               0.359,            0.038172,             0.02077,            0.011645,            0.008812,            0.008812,            0.008812
                  14,            0.042024,            0.034918,            0.019711,             0.65872,             0.60887,             0.64931,             0.37331,            0.037835,            0.020642,            0.011359,            0.008713,            0.008713,            0.008713
                  15,            0.041882,            0.034802,            0.019817,             0.65644,             0.59736,             0.64171,             0.37092,            0.037807,            0.020795,            0.012073,            0.008614,            0.008614,            0.008614
                  16,            0.041573,             0.03518,            0.018949,             0.66403,             0.62192,             0.66291,             0.38726,            0.037172,            0.020658,            0.011175,            0.008515,            0.008515,            0.008515
                  17,              0.0414,            0.035304,            0.019008,             0.67682,             0.62369,             0.66491,             0.39102,            0.036859,            0.020444,            0.011214,            0.008416,            0.008416,            0.008416
                  18,            0.041152,            0.034592,            0.018395,             0.68766,             0.63433,             0.68087,              0.4035,            0.036611,            0.020243,            0.010397,            0.008317,            0.008317,            0.008317
                  19,            0.041106,              0.0348,            0.018194,             0.68235,              0.6238,             0.66854,             0.39627,            0.036703,            0.020295,            0.010683,            0.008218,            0.008218,            0.008218
                  20,            0.040644,            0.034592,            0.017818,             0.68673,             0.65095,             0.68874,             0.41181,            0.036173,            0.020061,            0.010016,            0.008119,            0.008119,            0.008119
                  21,            0.040514,            0.034004,            0.017889,             0.69597,             0.65869,              0.6942,             0.41484,            0.035966,            0.020142,           0.0097518,             0.00802,             0.00802,             0.00802
                  22,            0.040547,            0.034293,            0.017681,             0.68579,              0.6554,             0.69237,             0.41331,             0.03577,            0.020099,            0.010098,            0.007921,            0.007921,            0.007921
                  23,            0.040434,            0.034356,            0.017744,             0.69334,             0.65522,             0.69915,             0.42327,            0.035587,            0.019957,             0.00955,            0.007822,            0.007822,            0.007822
                  24,            0.040309,            0.033945,            0.017232,             0.70454,             0.64911,             0.69992,             0.42217,            0.035466,            0.020012,           0.0090471,            0.007723,            0.007723,            0.007723
                  25,            0.040157,            0.033921,            0.017234,             0.70153,             0.65387,             0.70402,              0.4271,            0.035371,            0.019928,           0.0093912,            0.007624,            0.007624,            0.007624
                  26,            0.039912,            0.034084,            0.016836,             0.69743,              0.6616,             0.70414,             0.42923,            0.035184,            0.019838,           0.0091713,            0.007525,            0.007525,            0.007525
                  27,            0.039865,            0.034319,            0.016867,             0.70656,             0.65607,             0.70835,             0.43432,            0.035029,            0.019618,           0.0090473,            0.007426,            0.007426,            0.007426
                  28,            0.039663,            0.033916,            0.016573,             0.70993,             0.66982,             0.71806,             0.44362,            0.034927,            0.019667,           0.0088227,            0.007327,            0.007327,            0.007327
                  29,            0.039667,            0.033989,            0.016686,              0.7084,             0.66613,             0.71529,             0.44212,            0.034842,            0.019676,           0.0085055,            0.007228,            0.007228,            0.007228
                  30,            0.039733,            0.033779,            0.016309,             0.70703,             0.67633,             0.71894,             0.44624,             0.03468,            0.019662,           0.0084642,            0.007129,            0.007129,            0.007129
                  31,            0.039399,             0.03351,            0.016418,             0.71627,             0.67609,              0.7197,             0.44558,            0.034569,            0.019541,           0.0083222,             0.00703,             0.00703,             0.00703
                  32,            0.039384,            0.033649,            0.015941,             0.72711,             0.67845,              0.7332,             0.45596,            0.034453,            0.019541,           0.0082746,            0.006931,            0.006931,            0.006931
                  33,            0.039302,            0.033754,            0.015903,             0.71629,             0.68184,             0.72948,             0.45255,             0.03438,            0.019507,           0.0083874,            0.006832,            0.006832,            0.006832
                  34,            0.039147,            0.033393,            0.015768,             0.72445,             0.68781,             0.73292,             0.45919,            0.034208,            0.019482,           0.0082495,            0.006733,            0.006733,            0.006733
                  35,            0.038976,            0.033269,             0.01579,             0.73814,             0.68987,             0.73951,             0.46387,            0.034074,            0.019366,           0.0081303,            0.006634,            0.006634,            0.006634
                  36,            0.039025,            0.033524,            0.015448,             0.73395,             0.68636,             0.74013,             0.46375,            0.033967,             0.01937,           0.0080689,            0.006535,            0.006535,            0.006535
                  37,            0.038763,            0.033396,            0.015254,             0.72247,             0.69578,             0.73733,             0.46303,            0.033898,            0.019378,           0.0080441,            0.006436,            0.006436,            0.006436
                  38,            0.038681,            0.033373,            0.015425,             0.71704,             0.69302,             0.73341,              0.4625,            0.033836,            0.019361,           0.0080658,            0.006337,            0.006337,            0.006337
                  39,            0.038887,            0.033348,            0.015365,             0.73247,             0.68861,             0.73945,             0.46654,            0.033814,            0.019303,           0.0080168,            0.006238,            0.006238,            0.006238
                  40,             0.03862,            0.033169,            0.015044,             0.72708,             0.69956,             0.74231,             0.46816,            0.033778,            0.019284,           0.0078272,            0.006139,            0.006139,            0.006139
                  41,            0.038473,            0.033043,            0.014746,             0.73308,              0.6994,             0.74697,             0.47158,            0.033675,             0.01921,           0.0076615,             0.00604,             0.00604,             0.00604
                  42,            0.038369,            0.032748,            0.015087,             0.72002,             0.70471,              0.7451,             0.47283,            0.033656,            0.019214,            0.007672,            0.005941,            0.005941,            0.005941
                  43,            0.038353,            0.033146,            0.014865,             0.73157,             0.70551,             0.74562,             0.47397,            0.033575,            0.019201,           0.0077328,            0.005842,            0.005842,            0.005842
                  44,            0.038026,            0.032566,            0.014727,             0.72755,             0.70739,             0.74799,             0.47488,             0.03352,             0.01919,           0.0076141,            0.005743,            0.005743,            0.005743
                  45,            0.038104,            0.033133,             0.01442,             0.72148,             0.71278,             0.74844,             0.47634,            0.033489,             0.01914,           0.0076665,            0.005644,            0.005644,            0.005644
                  46,            0.037888,            0.032574,            0.014315,             0.73126,             0.70609,             0.75267,              0.4782,            0.033469,            0.019135,           0.0075305,            0.005545,            0.005545,            0.005545
                  47,            0.037831,            0.032868,            0.014161,             0.74337,              0.6995,             0.75429,             0.47918,            0.033434,            0.019133,           0.0074633,            0.005446,            0.005446,            0.005446
                  48,            0.037665,            0.032759,            0.013916,             0.73301,             0.70963,             0.75446,             0.48146,            0.033413,            0.019136,           0.0074581,            0.005347,            0.005347,            0.005347
                  49,            0.037644,            0.032834,            0.014059,             0.73764,             0.70364,             0.75513,             0.48279,            0.033365,            0.019108,           0.0075005,            0.005248,            0.005248,            0.005248
                  50,            0.037768,             0.03245,            0.013778,             0.73559,              0.7063,             0.75484,              0.4828,            0.033346,            0.019106,           0.0074291,            0.005149,            0.005149,            0.005149
                  51,            0.037534,            0.032596,            0.013567,             0.74099,             0.70856,              0.7569,              0.4844,             0.03329,            0.019085,           0.0073226,             0.00505,             0.00505,             0.00505
                  52,             0.03737,            0.032306,            0.013692,             0.74541,              0.7079,             0.75878,              0.4856,             0.03326,            0.019065,           0.0072971,            0.004951,            0.004951,            0.004951
                  53,            0.037363,            0.032492,            0.013702,             0.74773,             0.70653,             0.75881,             0.48658,            0.033222,            0.019047,           0.0072627,            0.004852,            0.004852,            0.004852
                  54,             0.03714,            0.032562,             0.01338,             0.74316,             0.70858,             0.75922,             0.48797,            0.033188,            0.019035,           0.0072687,            0.004753,            0.004753,            0.004753
                  55,            0.037124,            0.032642,            0.013473,             0.73712,             0.71322,             0.75956,             0.48825,            0.033165,            0.019018,           0.0072487,            0.004654,            0.004654,            0.004654
                  56,            0.037185,            0.032346,            0.013229,             0.73484,             0.71697,             0.76018,             0.48956,            0.033144,            0.019003,           0.0072336,            0.004555,            0.004555,            0.004555
                  57,            0.037037,            0.032474,            0.013128,             0.74027,               0.713,             0.76134,             0.49085,             0.03311,            0.018988,           0.0071935,            0.004456,            0.004456,            0.004456
                  58,            0.037016,            0.031861,            0.013147,             0.74224,             0.71333,             0.76194,             0.49131,            0.033076,            0.018976,             0.00718,            0.004357,            0.004357,            0.004357
                  59,            0.036905,            0.032184,            0.013088,             0.74507,             0.71314,              0.7629,             0.49206,            0.033051,            0.018962,           0.0071651,            0.004258,            0.004258,            0.004258
                  60,            0.036814,            0.032299,            0.012946,             0.74461,             0.71329,             0.76296,             0.49278,            0.033026,            0.018948,            0.007141,            0.004159,            0.004159,            0.004159
                  61,            0.036513,            0.031848,            0.012598,             0.74696,             0.71371,             0.76375,             0.49419,            0.033009,            0.018928,           0.0071347,             0.00406,             0.00406,             0.00406
                  62,            0.036547,             0.03224,            0.012592,              0.7456,             0.71491,              0.7639,             0.49455,            0.032984,            0.018913,           0.0071311,            0.003961,            0.003961,            0.003961
                  63,            0.036476,             0.03225,            0.012656,             0.74477,             0.71418,             0.76397,             0.49495,            0.032972,            0.018905,           0.0071206,            0.003862,            0.003862,            0.003862
                  64,            0.036207,            0.031747,            0.012228,             0.74273,             0.71764,             0.76442,             0.49497,            0.032962,              0.0189,           0.0071036,            0.003763,            0.003763,            0.003763
                  65,            0.036435,            0.031945,            0.012285,             0.74412,             0.71778,             0.76387,              0.4953,             0.03295,            0.018897,           0.0070899,            0.003664,            0.003664,            0.003664
                  66,            0.036061,            0.031694,            0.012198,             0.74418,             0.71857,             0.76423,               0.495,            0.032938,             0.01889,           0.0070818,            0.003565,            0.003565,            0.003565
                  67,            0.035853,            0.031885,            0.012002,             0.74072,             0.72103,             0.76464,              0.4954,            0.032921,            0.018883,            0.007063,            0.003466,            0.003466,            0.003466
                  68,            0.035854,            0.031833,            0.011987,             0.74127,              0.7223,             0.76527,             0.49618,            0.032899,            0.018877,           0.0070502,            0.003367,            0.003367,            0.003367
                  69,            0.035834,            0.031526,            0.011907,             0.74152,             0.72253,             0.76564,             0.49643,            0.032887,            0.018871,           0.0070479,            0.003268,            0.003268,            0.003268
                  70,            0.035676,            0.031531,            0.011792,             0.74172,             0.72304,               0.766,             0.49675,            0.032879,            0.018866,           0.0070351,            0.003169,            0.003169,            0.003169
                  71,            0.035633,            0.031276,            0.011717,             0.74175,             0.72308,             0.76583,               0.497,             0.03287,             0.01886,           0.0070248,             0.00307,             0.00307,             0.00307
                  72,             0.03567,            0.031443,            0.011672,             0.74109,             0.72517,             0.76619,             0.49754,            0.032862,            0.018856,           0.0070217,            0.002971,            0.002971,            0.002971
                  73,            0.035683,            0.031379,            0.011721,             0.73966,              0.7254,             0.76661,             0.49805,            0.032855,             0.01885,           0.0070209,            0.002872,            0.002872,            0.002872
                  74,            0.035357,            0.031089,            0.011411,             0.73915,             0.72623,             0.76685,             0.49851,            0.032849,            0.018845,           0.0070214,            0.002773,            0.002773,            0.002773
                  75,            0.035284,            0.031218,            0.011397,             0.74211,              0.7247,             0.76688,             0.49862,            0.032841,            0.018841,           0.0070117,            0.002674,            0.002674,            0.002674
                  76,            0.035259,            0.031283,            0.011294,             0.74032,             0.72614,             0.76684,             0.49874,            0.032831,            0.018835,           0.0070106,            0.002575,            0.002575,            0.002575
                  77,            0.034779,            0.030854,            0.011136,              0.7392,             0.72843,             0.76661,             0.49885,            0.032825,             0.01883,           0.0070136,            0.002476,            0.002476,            0.002476
                  78,            0.034825,            0.031038,            0.010989,             0.73975,             0.72809,             0.76655,             0.49912,            0.032816,            0.018825,            0.007013,            0.002377,            0.002377,            0.002377
                  79,            0.034923,            0.030836,            0.010991,             0.74053,             0.72671,              0.7667,             0.49956,             0.03281,            0.018821,           0.0070135,            0.002278,            0.002278,            0.002278
                  80,            0.034814,             0.03103,            0.010804,             0.73888,              0.7283,             0.76654,             0.49974,            0.032806,            0.018816,           0.0070127,            0.002179,            0.002179,            0.002179
                  81,            0.034649,             0.03098,            0.010983,             0.73627,             0.72971,             0.76681,             0.50011,            0.032799,            0.018814,           0.0070153,             0.00208,             0.00208,             0.00208
