               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068605,            0.035522,             0.05607,             0.44913,             0.46739,             0.43583,             0.19554,              0.0479,            0.020349,            0.026894,            0.070058,           0.0033269,           0.0033269
                   1,            0.051554,            0.033787,            0.029675,             0.53832,             0.51955,             0.52227,             0.25414,            0.044225,            0.020881,            0.017411,            0.039992,           0.0065943,           0.0065943
                   2,            0.050988,            0.035481,            0.027619,             0.39403,              0.3424,             0.30367,             0.14059,            0.050238,            0.026723,            0.030067,             0.00986,           0.0097957,           0.0097957
                   3,            0.050242,            0.038011,              0.0298,              0.4803,             0.45468,             0.44308,             0.20797,            0.045259,            0.024247,            0.020021,            0.009703,            0.009703,            0.009703
                   4,            0.048152,             0.03737,            0.027718,              0.4976,             0.41886,               0.415,              0.2026,             0.04528,            0.025206,             0.02223,            0.009703,            0.009703,            0.009703
                   5,            0.046482,            0.036968,            0.025975,             0.57384,             0.50237,             0.51689,             0.26706,            0.043221,            0.022316,             0.01738,            0.009604,            0.009604,            0.009604
                   6,            0.045584,            0.036343,            0.024677,             0.57712,             0.52199,             0.54927,             0.28869,            0.041004,            0.022269,             0.01527,            0.009505,            0.009505,            0.009505
                   7,            0.044904,            0.036467,            0.023223,             0.61084,             0.54195,             0.57271,             0.30955,            0.041329,            0.021696,              0.0143,            0.009406,            0.009406,            0.009406
                   8,            0.044245,            0.036031,            0.022895,             0.58962,             0.56135,             0.57525,             0.31345,            0.040171,            0.021898,            0.014072,            0.009307,            0.009307,            0.009307
                   9,            0.043544,            0.036065,            0.022154,             0.62527,             0.56667,             0.59733,             0.32912,            0.039595,             0.02145,            0.013183,            0.009208,            0.009208,            0.009208
                  10,            0.043254,            0.035767,            0.021137,             0.62799,             0.57942,             0.60826,             0.33803,            0.038711,            0.021273,            0.013142,            0.009109,            0.009109,            0.009109
                  11,            0.042872,            0.035418,            0.020755,             0.63868,             0.57029,             0.60844,             0.34377,            0.038681,            0.021078,            0.013124,             0.00901,             0.00901,             0.00901
                  12,            0.042546,            0.035014,            0.020764,             0.63627,             0.59713,             0.62376,             0.35263,             0.03832,            0.021319,            0.011978,            0.008911,            0.008911,            0.008911
                  13,            0.042405,            0.034922,            0.019983,             0.65438,             0.57508,             0.61742,             0.35006,            0.038478,             0.02111,            0.013162,            0.008812,            0.008812,            0.008812
