               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10046,            0.017914,                   0,           0.0014266,             0.42756,            0.021899,            0.006117,            0.084725,             0.01371,                   0,            0.070084,            0.003324,            0.003324
                   1,             0.07733,            0.015791,                   0,             0.16563,             0.17619,            0.065029,            0.027412,             0.07107,            0.012935,                   0,            0.040018,           0.0065914,           0.0065914
                   2,            0.073338,            0.015435,                   0,             0.14271,             0.22239,            0.055827,            0.025248,            0.070297,            0.013043,                   0,            0.009886,           0.0097929,           0.0097929
                   3,            0.071327,            0.015408,                   0,             0.17801,             0.22083,             0.07137,            0.033165,            0.067077,            0.012935,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.068224,            0.015487,                   0,             0.15987,             0.24119,            0.072415,            0.035706,            0.066257,            0.012917,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.067625,            0.015542,                   0,             0.18352,             0.24432,             0.08288,            0.043652,            0.064014,            0.012753,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.066236,            0.015459,                   0,             0.18278,             0.25372,            0.091747,            0.046502,            0.064078,            0.012872,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.065265,            0.015459,                   0,             0.18755,             0.25529,            0.095457,            0.048341,            0.063543,            0.012514,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.064882,            0.015208,                   0,              0.1755,             0.28504,            0.090581,            0.045201,            0.063319,            0.012538,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.064875,            0.015303,                   0,             0.17666,             0.24511,            0.095091,            0.051742,            0.063353,            0.012735,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.064179,            0.015532,                   0,              0.1798,             0.27251,            0.097361,            0.051824,            0.062123,            0.012592,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.063828,             0.01548,                   0,             0.17971,             0.25529,            0.097074,            0.051415,            0.061794,            0.012638,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.06342,            0.015453,                   0,             0.19148,             0.26782,             0.10285,            0.057647,            0.060992,            0.012543,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.063062,            0.015499,                   0,             0.19737,             0.25529,            0.099607,            0.055528,            0.061998,            0.012552,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.062854,            0.015366,                   0,             0.19469,              0.2677,            0.098635,            0.054417,            0.060417,             0.01265,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.062655,             0.01529,                   0,             0.18587,             0.27878,             0.10009,             0.05342,            0.060519,            0.012507,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.062394,            0.015474,                   0,             0.19726,              0.2686,             0.10687,            0.059822,            0.061156,            0.012484,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.061678,            0.015355,                   0,             0.19625,             0.27565,             0.10768,            0.059228,            0.060318,            0.012479,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.061984,            0.015441,                   0,             0.19061,             0.27721,             0.10945,            0.059618,            0.060586,             0.01248,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.061966,            0.015359,                   0,             0.19972,             0.24511,             0.10406,            0.057649,             0.06041,              0.0127,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.061419,            0.015364,                   0,             0.20636,             0.25607,              0.1156,            0.065315,             0.05999,            0.012527,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.061468,            0.015162,                   0,             0.21377,             0.26551,             0.11336,            0.063358,            0.059646,            0.012521,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.061197,             0.01528,                   0,             0.20423,             0.25842,             0.10788,            0.061181,            0.059406,            0.012454,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.061031,            0.015469,                   0,              0.1973,             0.27643,             0.11357,            0.063845,            0.059059,            0.012577,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.060491,            0.015315,                   0,             0.20097,             0.27408,             0.11575,            0.066001,            0.058832,            0.012525,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.060396,            0.015416,                   0,             0.21263,             0.26312,             0.11569,            0.063164,            0.059204,            0.012515,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.06019,            0.015336,                   0,              0.2075,             0.27251,             0.11689,            0.065215,            0.058978,            0.012448,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.060179,            0.015431,                   0,             0.22026,             0.26625,             0.12342,            0.070418,            0.058629,             0.01239,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.060551,            0.015184,                   0,              0.2066,             0.27173,             0.11525,            0.065154,            0.058691,            0.012446,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.060133,            0.015435,                   0,             0.21317,             0.25529,             0.12862,            0.073311,            0.058657,            0.012377,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.059795,            0.015353,                   0,             0.20965,               0.278,             0.12659,            0.073102,             0.05849,            0.012441,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.059346,            0.015378,                   0,             0.21693,             0.26547,             0.12245,            0.069095,            0.058164,             0.01245,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.059505,            0.015245,                   0,             0.20388,             0.26468,             0.11944,            0.068527,            0.058351,            0.012529,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.05932,            0.015336,                   0,             0.21205,             0.28034,             0.12807,            0.075235,            0.057669,            0.012431,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.059342,            0.015281,                   0,             0.22597,             0.27565,             0.13094,            0.074226,            0.058166,            0.012372,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.058849,            0.015251,                   0,             0.21721,             0.28583,             0.13336,            0.075989,            0.057767,            0.012326,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.059225,            0.015179,                   0,             0.21372,              0.3007,             0.13314,            0.075738,            0.057937,            0.012247,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.059054,            0.015145,                   0,             0.22877,             0.28661,             0.13528,             0.07735,            0.057753,            0.012279,                   0,            0.006436,            0.006436,            0.006436
