               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064825,            0.035924,            0.053928,             0.51782,             0.48493,             0.47908,             0.23796,            0.044941,            0.020109,            0.025832,            0.070058,           0.0033269,           0.0033269
                   1,             0.05021,            0.033181,            0.028189,             0.60786,             0.55452,              0.5884,             0.31437,            0.040909,            0.020809,            0.016132,            0.039992,           0.0065943,           0.0065943
                   2,            0.049992,             0.03494,            0.026125,             0.37056,             0.25896,             0.19917,            0.092068,            0.055149,            0.026485,            0.068797,             0.00986,           0.0097957,           0.0097957
                   3,            0.049274,            0.037489,             0.02872,             0.51964,              0.4576,             0.46195,             0.22176,             0.04425,            0.023783,            0.018382,            0.009703,            0.009703,            0.009703
                   4,            0.047411,            0.036935,            0.026637,             0.52617,             0.46473,             0.45968,             0.23195,            0.044973,            0.024277,            0.020158,            0.009703,            0.009703,            0.009703
                   5,            0.045943,            0.036588,            0.025085,              0.5767,              0.5062,             0.52036,             0.27135,            0.042557,            0.022421,            0.017643,            0.009604,            0.009604,            0.009604
                   6,            0.045054,            0.036043,            0.024179,             0.56063,             0.51022,             0.52094,                0.27,            0.041512,            0.022178,            0.016261,            0.009505,            0.009505,            0.009505
                   7,            0.044375,            0.036117,            0.022544,             0.58984,              0.5308,             0.55492,             0.29466,            0.041542,            0.021926,            0.014296,            0.009406,            0.009406,            0.009406
                   8,            0.043825,            0.035782,             0.02238,             0.62635,             0.55245,              0.5844,              0.3186,            0.039984,            0.021718,            0.013811,            0.009307,            0.009307,            0.009307
                   9,            0.043303,            0.035859,            0.021693,             0.61474,             0.55602,             0.58336,             0.32295,            0.039424,            0.021482,             0.01406,            0.009208,            0.009208,            0.009208
                  10,            0.042818,            0.035582,            0.020906,             0.63598,             0.58354,             0.61571,             0.34376,            0.038598,            0.021179,            0.013353,            0.009109,            0.009109,            0.009109
                  11,             0.04257,            0.035223,            0.020391,             0.66077,             0.58967,             0.63142,             0.35732,            0.038104,            0.020923,            0.012684,             0.00901,             0.00901,             0.00901
                  12,            0.042159,            0.034832,            0.020515,             0.64356,             0.60252,             0.63079,             0.35981,            0.038422,            0.021022,            0.012059,            0.008911,            0.008911,            0.008911
                  13,            0.042085,            0.034742,            0.019733,             0.64828,             0.60226,             0.64129,             0.36451,            0.037603,             0.02073,            0.011215,            0.008812,            0.008812,            0.008812
                  14,            0.041701,            0.034702,            0.019398,             0.65895,             0.61014,             0.64812,              0.3713,            0.037655,            0.020732,            0.011519,            0.008713,            0.008713,            0.008713
                  15,            0.041459,            0.034607,            0.019434,              0.6622,             0.61168,             0.65554,              0.3824,            0.037159,            0.020519,            0.011259,            0.008614,            0.008614,            0.008614
                  16,            0.041196,            0.034915,            0.018519,             0.67353,             0.63129,             0.67025,             0.39656,            0.036447,            0.020526,            0.010613,            0.008515,            0.008515,            0.008515
                  17,            0.041067,            0.035072,            0.018386,             0.68597,             0.62797,             0.67988,             0.40856,            0.036354,            0.020245,            0.010482,            0.008416,            0.008416,            0.008416
                  18,            0.040797,            0.034343,            0.017958,             0.69498,              0.6327,             0.68779,              0.4101,            0.036261,            0.020259,            0.010396,            0.008317,            0.008317,            0.008317
                  19,            0.040858,            0.034601,            0.017824,              0.6939,             0.61947,             0.66678,             0.40064,            0.036364,            0.020051,            0.010384,            0.008218,            0.008218,            0.008218
                  20,            0.040311,            0.034403,            0.017506,              0.6901,             0.64415,             0.69134,             0.41698,            0.035598,             0.02002,           0.0099627,            0.008119,            0.008119,            0.008119
                  21,            0.040181,            0.033845,            0.017457,             0.70019,              0.6512,             0.69542,             0.42196,            0.035607,             0.02001,           0.0094569,             0.00802,             0.00802,             0.00802
                  22,            0.040185,            0.034027,            0.017359,             0.70936,             0.65109,             0.70289,             0.42501,            0.035355,            0.019912,            0.009447,            0.007921,            0.007921,            0.007921
                  23,            0.040062,            0.034147,             0.01736,             0.70442,             0.65761,             0.70535,             0.42984,            0.035312,            0.019839,           0.0094844,            0.007822,            0.007822,            0.007822
                  24,            0.039921,            0.033725,            0.016919,             0.71061,             0.65957,             0.70975,             0.43139,            0.034992,            0.019871,           0.0088975,            0.007723,            0.007723,            0.007723
                  25,             0.03979,            0.033739,            0.016812,             0.72462,             0.67029,              0.7214,             0.44286,            0.034912,            0.019635,           0.0088846,            0.007624,            0.007624,            0.007624
                  26,            0.039614,            0.033902,            0.016627,             0.72263,             0.66896,             0.71992,             0.44165,            0.034764,            0.019602,           0.0087928,            0.007525,            0.007525,            0.007525
                  27,            0.039629,            0.034142,            0.016686,             0.70277,             0.67896,              0.7199,             0.44367,            0.034603,            0.019639,           0.0084279,            0.007426,            0.007426,            0.007426
                  28,            0.039332,            0.033756,            0.016192,             0.72583,              0.6796,             0.72856,             0.44873,            0.034489,             0.01946,           0.0082697,            0.007327,            0.007327,            0.007327
                  29,             0.03926,            0.033753,            0.015984,             0.71776,             0.67523,             0.72451,             0.44903,            0.034468,            0.019466,           0.0082155,            0.007228,            0.007228,            0.007228
                  30,            0.039416,             0.03354,            0.016019,             0.70213,             0.68022,             0.72168,             0.44685,            0.034362,            0.019658,           0.0082041,            0.007129,            0.007129,            0.007129
                  31,            0.039122,            0.033299,            0.016011,             0.72307,             0.67569,             0.72959,             0.45394,            0.034366,            0.019365,           0.0081704,             0.00703,             0.00703,             0.00703
                  32,            0.039061,             0.03347,            0.015695,             0.72163,             0.69015,             0.73468,             0.46033,            0.034135,            0.019402,           0.0081776,            0.006931,            0.006931,            0.006931
                  33,            0.038951,            0.033519,            0.015514,             0.72552,              0.6828,             0.73615,             0.45996,            0.034037,            0.019444,           0.0082017,            0.006832,            0.006832,            0.006832
                  34,            0.038812,            0.033289,            0.015627,             0.72912,             0.68141,             0.73367,             0.45961,            0.033987,            0.019449,           0.0081248,            0.006733,            0.006733,            0.006733
                  35,            0.038627,            0.033128,            0.015603,             0.72897,             0.68714,             0.74121,              0.4661,            0.033819,            0.019324,           0.0078796,            0.006634,            0.006634,            0.006634
                  36,            0.038712,            0.033324,            0.014983,             0.73507,             0.68816,              0.7397,             0.46792,            0.033749,            0.019298,           0.0081055,            0.006535,            0.006535,            0.006535
                  37,            0.038398,            0.033129,            0.014837,             0.72363,             0.69311,             0.74264,             0.47098,            0.033672,            0.019219,            0.008142,            0.006436,            0.006436,            0.006436
                  38,             0.03825,            0.033184,            0.014966,             0.71726,             0.69961,             0.74101,              0.4688,             0.03359,            0.019247,            0.007954,            0.006337,            0.006337,            0.006337
                  39,             0.03858,            0.033136,            0.015105,             0.72274,             0.70036,             0.74447,             0.47256,            0.033579,            0.019225,            0.007836,            0.006238,            0.006238,            0.006238
                  40,             0.03833,            0.032963,            0.014711,             0.72673,             0.70403,             0.74876,             0.47641,            0.033559,            0.019177,           0.0078948,            0.006139,            0.006139,            0.006139
                  41,            0.038148,              0.0329,            0.014405,             0.73986,             0.69652,              0.7504,             0.47855,            0.033473,            0.019092,           0.0077976,             0.00604,             0.00604,             0.00604
                  42,            0.038027,              0.0326,            0.014984,             0.73989,             0.69935,             0.75012,             0.47811,            0.033497,            0.019159,            0.007697,            0.005941,            0.005941,            0.005941
                  43,            0.038016,             0.03302,            0.014643,             0.73865,              0.6958,             0.75167,             0.47948,            0.033488,            0.019088,           0.0075183,            0.005842,            0.005842,            0.005842
                  44,            0.037778,            0.032422,            0.014517,             0.74482,             0.69504,             0.75262,             0.47964,            0.033395,            0.019065,           0.0074407,            0.005743,            0.005743,            0.005743
                  45,            0.037825,            0.032959,            0.013977,             0.73902,             0.69978,             0.75336,              0.4811,             0.03331,            0.019008,           0.0075547,            0.005644,            0.005644,            0.005644
                  46,            0.037559,            0.032394,            0.014153,             0.73249,             0.70549,              0.7559,             0.48257,            0.033289,            0.018984,            0.007431,            0.005545,            0.005545,            0.005545
                  47,            0.037528,            0.032717,            0.013914,              0.7457,             0.69916,             0.75636,             0.48413,            0.033214,             0.01896,           0.0073576,            0.005446,            0.005446,            0.005446
                  48,            0.037404,            0.032632,            0.013659,             0.74249,             0.70345,             0.75795,             0.48594,            0.033172,            0.018934,           0.0073619,            0.005347,            0.005347,            0.005347
                  49,             0.03739,            0.032652,            0.013909,             0.73859,             0.70872,             0.75828,             0.48532,             0.03313,             0.01893,            0.007396,            0.005248,            0.005248,            0.005248
                  50,            0.037465,            0.032273,            0.013501,             0.74618,             0.70664,             0.75812,             0.48597,            0.033131,            0.018927,           0.0073925,            0.005149,            0.005149,            0.005149
                  51,            0.037223,            0.032444,            0.013454,             0.74145,             0.71058,             0.75965,             0.48733,            0.033102,            0.018919,           0.0072997,             0.00505,             0.00505,             0.00505
                  52,            0.037093,            0.032224,            0.013557,             0.74111,             0.71557,             0.75984,             0.48814,            0.033048,             0.01891,           0.0072789,            0.004951,            0.004951,            0.004951
                  53,            0.037011,            0.032352,            0.013405,             0.74177,             0.71657,             0.75955,              0.4888,            0.033016,            0.018894,           0.0072382,            0.004852,            0.004852,            0.004852
                  54,             0.03692,            0.032402,            0.013221,             0.74522,             0.71327,             0.76024,             0.49023,            0.032975,            0.018884,           0.0072204,            0.004753,            0.004753,            0.004753
                  55,            0.036818,             0.03249,            0.013155,             0.74859,             0.71259,             0.76126,             0.49066,            0.032957,            0.018885,           0.0071996,            0.004654,            0.004654,            0.004654
                  56,            0.036911,            0.032206,            0.013072,             0.75272,             0.70521,             0.76161,             0.49089,            0.032924,            0.018892,            0.007154,            0.004555,            0.004555,            0.004555
                  57,            0.036831,            0.032306,            0.012999,             0.74992,             0.70735,             0.76219,              0.4921,            0.032898,             0.01888,           0.0071275,            0.004456,            0.004456,            0.004456
                  58,            0.036719,            0.031724,            0.012885,             0.75164,             0.70566,             0.76321,             0.49271,            0.032885,            0.018871,           0.0071236,            0.004357,            0.004357,            0.004357
                  59,            0.036573,             0.03194,            0.012721,              0.7515,             0.70557,             0.76396,             0.49412,            0.032869,             0.01886,           0.0071413,            0.004258,            0.004258,            0.004258
                  60,            0.036533,            0.032161,            0.012722,             0.74731,             0.70833,             0.76416,             0.49504,            0.032839,            0.018855,           0.0071582,            0.004159,            0.004159,            0.004159
                  61,            0.036199,            0.031682,            0.012381,             0.75128,              0.7075,             0.76483,             0.49493,            0.032821,            0.018841,           0.0071735,             0.00406,             0.00406,             0.00406
                  62,            0.036326,            0.032011,            0.012166,             0.75248,             0.70915,             0.76559,             0.49543,            0.032797,            0.018829,           0.0071712,            0.003961,            0.003961,            0.003961
                  63,              0.0362,            0.032014,            0.012382,             0.75151,             0.71118,             0.76588,             0.49632,            0.032775,            0.018821,           0.0071549,            0.003862,            0.003862,            0.003862
                  64,            0.035988,            0.031591,            0.012018,             0.75504,             0.70784,             0.76606,             0.49695,            0.032754,            0.018815,            0.007149,            0.003763,            0.003763,            0.003763
                  65,            0.036058,            0.031736,            0.011998,             0.75123,             0.71312,             0.76651,              0.4967,            0.032737,            0.018807,            0.007141,            0.003664,            0.003664,            0.003664
                  66,            0.035802,            0.031488,            0.011899,              0.7492,             0.71592,             0.76641,             0.49696,            0.032721,            0.018801,           0.0071392,            0.003565,            0.003565,            0.003565
                  67,            0.035578,            0.031647,            0.011787,             0.74802,             0.71808,             0.76738,             0.49737,            0.032707,            0.018789,           0.0071286,            0.003466,            0.003466,            0.003466
                  68,            0.035622,            0.031629,            0.011801,             0.74742,             0.71941,             0.76744,             0.49778,            0.032694,             0.01878,           0.0071298,            0.003367,            0.003367,            0.003367
                  69,            0.035513,             0.03134,            0.011807,             0.74691,             0.71973,             0.76786,             0.49815,             0.03268,             0.01877,            0.007133,            0.003268,            0.003268,            0.003268
                  70,            0.035435,            0.031358,            0.011557,             0.74562,             0.72047,             0.76811,             0.49913,             0.03267,            0.018761,           0.0071282,            0.003169,            0.003169,            0.003169
                  71,             0.03543,            0.031078,            0.011407,             0.74709,             0.71735,             0.76808,             0.49885,            0.032657,            0.018754,            0.007116,             0.00307,             0.00307,             0.00307
                  72,            0.035428,            0.031211,            0.011437,             0.74714,             0.71848,             0.76808,             0.49919,            0.032647,            0.018749,           0.0071043,            0.002971,            0.002971,            0.002971
                  73,            0.035337,             0.03113,            0.011452,             0.74662,             0.71838,             0.76799,             0.49925,            0.032639,            0.018746,           0.0070951,            0.002872,            0.002872,            0.002872
                  74,            0.035081,            0.030907,            0.011194,             0.74572,             0.72086,             0.76838,             0.49939,            0.032631,             0.01874,           0.0070935,            0.002773,            0.002773,            0.002773
                  75,            0.034925,            0.031018,            0.011035,             0.74646,             0.71913,             0.76832,             0.50011,            0.032619,            0.018737,           0.0070842,            0.002674,            0.002674,            0.002674
                  76,            0.034908,            0.031024,            0.010997,             0.74554,             0.72015,             0.76793,             0.50031,            0.032609,            0.018733,           0.0070764,            0.002575,            0.002575,            0.002575
                  77,            0.034553,            0.030659,             0.01087,             0.74548,             0.72023,             0.76828,             0.50062,            0.032601,            0.018726,           0.0070713,            0.002476,            0.002476,            0.002476
                  78,             0.03449,            0.030841,            0.010779,             0.74598,             0.71991,             0.76818,             0.50065,            0.032596,            0.018721,           0.0070579,            0.002377,            0.002377,            0.002377
                  79,            0.034683,            0.030629,            0.010771,             0.74634,             0.72053,             0.76819,             0.50072,             0.03259,            0.018718,           0.0070467,            0.002278,            0.002278,            0.002278
                  80,            0.034523,            0.030784,            0.010609,             0.74629,             0.72017,             0.76807,             0.50089,            0.032586,            0.018713,           0.0070409,            0.002179,            0.002179,            0.002179
                  81,            0.034351,            0.030798,            0.010647,             0.74892,             0.71866,             0.76805,             0.50104,            0.032582,            0.018709,           0.0070336,             0.00208,             0.00208,             0.00208
                  82,            0.034178,            0.030629,            0.010338,             0.74847,             0.72008,               0.768,             0.50091,            0.032577,            0.018703,            0.007033,            0.001981,            0.001981,            0.001981
                  83,            0.033962,            0.030172,            0.010257,             0.74957,             0.71927,             0.76848,             0.50111,            0.032572,            0.018699,           0.0070303,            0.001882,            0.001882,            0.001882
                  84,            0.034041,            0.030385,            0.010031,             0.74964,             0.71859,             0.76853,             0.50111,            0.032568,            0.018696,           0.0070251,            0.001783,            0.001783,            0.001783
                  85,            0.033948,            0.030582,           0.0099929,             0.75126,             0.71774,              0.7687,             0.50119,            0.032563,            0.018691,            0.007017,            0.001684,            0.001684,            0.001684
                  86,            0.033714,             0.03047,           0.0097832,             0.74722,             0.72073,             0.76886,             0.50157,            0.032557,            0.018688,           0.0070091,            0.001585,            0.001585,            0.001585
                  87,            0.033765,            0.030048,            0.009958,             0.74839,             0.71987,             0.76878,             0.50193,            0.032551,            0.018683,           0.0070074,            0.001486,            0.001486,            0.001486
                  88,            0.033401,             0.03001,           0.0097193,             0.74891,             0.71959,             0.76882,             0.50192,            0.032546,            0.018677,           0.0070004,            0.001387,            0.001387,            0.001387
                  89,            0.033405,            0.030134,           0.0095279,             0.75378,             0.71651,             0.76917,             0.50258,            0.032539,            0.018673,           0.0069966,            0.001288,            0.001288,            0.001288
                  90,            0.033258,            0.030071,           0.0094783,             0.75236,             0.71721,             0.76898,             0.50258,            0.032532,             0.01867,            0.006996,            0.001189,            0.001189,            0.001189
                  91,            0.033103,             0.02986,           0.0092981,             0.75293,             0.71698,             0.76898,             0.50275,            0.032529,            0.018663,           0.0069954,             0.00109,             0.00109,             0.00109
                  92,            0.033243,            0.029707,           0.0093519,             0.75217,             0.71757,             0.76891,             0.50292,            0.032528,            0.018659,           0.0069906,            0.000991,            0.000991,            0.000991
                  93,            0.032975,            0.029879,           0.0091317,             0.75308,              0.7167,             0.76894,             0.50297,            0.032524,            0.018654,           0.0069873,            0.000892,            0.000892,            0.000892
                  94,            0.032775,            0.029474,           0.0090171,             0.75766,             0.71491,             0.76902,             0.50301,            0.032523,            0.018649,           0.0069838,            0.000793,            0.000793,            0.000793
                  95,            0.032438,            0.029341,           0.0089751,             0.75816,             0.71392,             0.76905,             0.50342,             0.03252,            0.018643,           0.0069777,            0.000694,            0.000694,            0.000694
                  96,            0.032472,            0.029475,           0.0087202,             0.75918,             0.71332,             0.76918,             0.50351,            0.032518,            0.018639,           0.0069811,            0.000595,            0.000595,            0.000595
                  97,            0.032486,            0.029367,           0.0088159,             0.75739,             0.71602,             0.76917,             0.50368,            0.032516,            0.018636,           0.0069865,            0.000496,            0.000496,            0.000496
                  98,            0.032361,             0.02955,            0.008686,             0.75868,             0.71558,              0.7695,             0.50408,            0.032516,            0.018633,           0.0069909,            0.000397,            0.000397,            0.000397
                  99,            0.032229,            0.029096,           0.0085415,             0.76102,             0.71414,             0.76944,             0.50438,            0.032515,            0.018632,           0.0069967,            0.000298,            0.000298,            0.000298
