               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071231,            0.040983,            0.060533,             0.27822,             0.29385,             0.19821,            0.071596,            0.056592,            0.022251,            0.034816,            0.070058,           0.0033269,           0.0033269
                   1,            0.057119,            0.034998,            0.033648,             0.49406,             0.47226,             0.45915,             0.20055,            0.049712,             0.02119,             0.01919,            0.039992,           0.0065943,           0.0065943
                   2,            0.055227,             0.03559,            0.028361,             0.44272,             0.37579,             0.35102,             0.14682,            0.049523,            0.026023,            0.025667,             0.00986,           0.0097957,           0.0097957
                   3,            0.052482,            0.037497,            0.029491,             0.44541,             0.42117,             0.39649,             0.18677,            0.048377,            0.023199,            0.022746,            0.009703,            0.009703,            0.009703
                   4,            0.049613,            0.036935,            0.027494,             0.49937,             0.38714,             0.38212,             0.17821,            0.047829,             0.02406,            0.025078,            0.009703,            0.009703,            0.009703
                   5,             0.04753,            0.036582,            0.025782,             0.56838,             0.50963,             0.52769,              0.2661,            0.042668,            0.022056,            0.016363,            0.009604,            0.009604,            0.009604
                   6,             0.04648,            0.035905,            0.024686,             0.59458,             0.53031,             0.56119,             0.29447,            0.041346,             0.02201,            0.015385,            0.009505,            0.009505,            0.009505
                   7,            0.045344,            0.035938,             0.02315,             0.59841,             0.53301,             0.55993,             0.29837,            0.041405,            0.021594,             0.01584,            0.009406,            0.009406,            0.009406
                   8,            0.044649,            0.035517,            0.022739,             0.60951,             0.55739,             0.58203,             0.31859,            0.040913,            0.021217,            0.014081,            0.009307,            0.009307,            0.009307
                   9,            0.044026,            0.035675,            0.022174,              0.6283,              0.5514,             0.59012,             0.32394,            0.039498,            0.021052,            0.014401,            0.009208,            0.009208,            0.009208
                  10,            0.043517,            0.035283,            0.021043,             0.61694,             0.56872,             0.60271,             0.33548,            0.039176,            0.021046,            0.013928,            0.009109,            0.009109,            0.009109
                  11,            0.043079,            0.034993,            0.020759,             0.63848,             0.59009,             0.62254,             0.35032,            0.038476,            0.020847,            0.013106,             0.00901,             0.00901,             0.00901
                  12,            0.042685,             0.03459,            0.020676,             0.65504,             0.60086,             0.62784,             0.35763,            0.038504,            0.020631,             0.01209,            0.008911,            0.008911,            0.008911
                  13,            0.042361,            0.034461,            0.019873,             0.66397,             0.60874,             0.64089,             0.36789,            0.038199,            0.020573,            0.012653,            0.008812,            0.008812,            0.008812
                  14,            0.041974,            0.034397,            0.019537,             0.67923,             0.61684,             0.66781,             0.39567,            0.037167,            0.020315,            0.011472,            0.008713,            0.008713,            0.008713
                  15,            0.041601,            0.034337,            0.019547,             0.66811,             0.61932,             0.66591,             0.39253,            0.036973,            0.020243,             0.01099,            0.008614,            0.008614,            0.008614
                  16,            0.041206,            0.034493,            0.018671,             0.67916,             0.62914,             0.67479,             0.40456,            0.036706,            0.019953,            0.010953,            0.008515,            0.008515,            0.008515
                  17,            0.040965,            0.034688,             0.01864,             0.69196,             0.63569,             0.68346,             0.41242,            0.035938,             0.01985,            0.010789,            0.008416,            0.008416,            0.008416
                  18,            0.040836,            0.034018,            0.018208,             0.70703,             0.64549,             0.69951,             0.42279,            0.035973,            0.019845,            0.010342,            0.008317,            0.008317,            0.008317
                  19,            0.040713,            0.034198,            0.018007,             0.71027,             0.64162,             0.69418,               0.424,            0.035976,            0.019698,            0.010004,            0.008218,            0.008218,            0.008218
                  20,            0.040171,            0.033917,            0.017491,             0.71169,             0.65373,             0.70536,             0.43387,            0.035293,            0.019523,           0.0098305,            0.008119,            0.008119,            0.008119
                  21,             0.03997,            0.033392,            0.017468,             0.71222,             0.65592,             0.71201,             0.43759,            0.035174,            0.019629,           0.0095658,             0.00802,             0.00802,             0.00802
                  22,            0.039901,             0.03363,             0.01751,             0.70084,             0.66472,             0.71213,             0.44026,             0.03497,            0.019496,           0.0094258,            0.007921,            0.007921,            0.007921
                  23,            0.039875,             0.03367,             0.01744,             0.70773,             0.66018,              0.7098,             0.44333,            0.034869,            0.019436,           0.0092054,            0.007822,            0.007822,            0.007822
                  24,            0.039619,             0.03315,            0.016797,             0.70962,             0.66345,             0.71856,             0.44759,            0.034496,            0.019299,           0.0092616,            0.007723,            0.007723,            0.007723
                  25,            0.039447,            0.033206,            0.017116,             0.73184,              0.6674,             0.72844,             0.46011,            0.034428,            0.019341,           0.0088881,            0.007624,            0.007624,            0.007624
                  26,            0.039119,            0.033392,            0.016464,             0.72241,             0.68405,             0.73536,             0.46331,            0.034132,            0.019119,           0.0088185,            0.007525,            0.007525,            0.007525
                  27,            0.038997,            0.033526,            0.016447,             0.72966,             0.68063,             0.73517,             0.46521,             0.03395,            0.019113,           0.0086233,            0.007426,            0.007426,            0.007426
                  28,            0.038811,            0.033128,            0.016263,             0.73867,             0.68517,             0.73919,             0.47011,            0.033744,            0.019014,           0.0083381,            0.007327,            0.007327,            0.007327
                  29,            0.038714,            0.033204,            0.016021,             0.72586,             0.69565,             0.74173,             0.47314,            0.033754,            0.018999,           0.0083762,            0.007228,            0.007228,            0.007228
