               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093226,            0.043262,            0.071408,          0.00035412,            0.023602,          0.00024048,          5.5977e-05,            0.084715,            0.028388,            0.061187,            0.070058,           0.0033269,           0.0033269
                   1,              0.0862,            0.044084,            0.063761,           0.0014988,             0.10798,           0.0016063,          0.00039992,             0.08022,            0.029789,            0.059218,            0.039992,           0.0065943,           0.0065943
                   2,            0.074812,            0.047137,             0.06183,             0.63618,            0.025574,            0.009768,           0.0025647,             0.07007,            0.033122,            0.055724,             0.00986,           0.0097957,           0.0097957
                   3,            0.067334,            0.046147,            0.059127,             0.67227,            0.031351,            0.025642,           0.0082807,            0.064071,            0.028226,            0.052431,            0.009703,            0.009703,            0.009703
                   4,            0.063765,            0.044603,            0.056435,             0.36516,            0.063133,            0.037234,            0.012635,            0.061852,            0.028631,            0.048858,            0.009703,            0.009703,            0.009703
                   5,            0.061723,            0.043993,            0.053628,              0.2426,            0.089594,             0.05182,             0.01774,            0.063118,            0.027222,            0.047124,            0.009604,            0.009604,            0.009604
                   6,             0.06045,            0.043399,            0.051603,             0.22944,             0.13763,            0.079239,            0.029386,            0.058915,            0.026882,             0.04369,            0.009505,            0.009505,            0.009505
                   7,            0.059793,            0.043647,            0.049682,             0.25733,             0.15034,             0.10208,            0.039126,            0.058575,            0.026299,            0.042388,            0.009406,            0.009406,            0.009406
                   8,            0.058892,             0.04295,            0.048068,             0.23932,              0.1869,             0.12347,            0.046693,            0.056589,            0.026651,            0.039496,            0.009307,            0.009307,            0.009307
                   9,            0.057953,            0.043117,            0.046978,             0.22074,              0.2056,              0.1259,            0.049975,            0.055923,            0.028054,            0.038045,            0.009208,            0.009208,            0.009208
                  10,            0.057525,            0.042884,            0.045899,             0.35269,             0.22248,             0.16104,            0.064915,            0.054976,            0.026096,            0.036238,            0.009109,            0.009109,            0.009109
                  11,            0.057178,            0.042533,            0.044919,             0.26142,             0.21247,             0.15214,             0.06286,            0.054305,            0.026057,            0.035136,             0.00901,             0.00901,             0.00901
                  12,            0.056621,            0.042077,            0.044051,             0.30488,             0.23971,             0.18996,            0.080721,            0.054025,            0.025877,            0.034198,            0.008911,            0.008911,            0.008911
                  13,            0.056252,            0.042127,            0.043339,             0.28591,             0.24981,             0.18815,            0.079702,            0.054123,            0.025668,            0.034009,            0.008812,            0.008812,            0.008812
                  14,            0.055891,            0.041803,            0.042213,             0.29588,             0.26767,             0.20358,            0.086569,             0.05276,            0.026205,            0.032366,            0.008713,            0.008713,            0.008713
                  15,            0.055375,            0.041735,            0.041735,             0.30346,              0.2752,             0.22083,            0.094717,            0.052325,            0.025704,             0.03103,            0.008614,            0.008614,            0.008614
                  16,            0.055243,            0.042337,            0.040998,               0.302,             0.29504,             0.23054,            0.098543,            0.051976,             0.02549,            0.030529,            0.008515,            0.008515,            0.008515
                  17,            0.054888,            0.042419,             0.04037,             0.31625,             0.31693,             0.24647,             0.10749,            0.051215,            0.025381,            0.029076,            0.008416,            0.008416,            0.008416
                  18,            0.054761,            0.041578,            0.039676,             0.32571,             0.31132,             0.24739,             0.10776,            0.050795,            0.025256,            0.029045,            0.008317,            0.008317,            0.008317
                  19,            0.054427,            0.041857,            0.039262,             0.33004,             0.32344,             0.26135,             0.11598,            0.050285,            0.025565,            0.028158,            0.008218,            0.008218,            0.008218
                  20,            0.054032,            0.041692,            0.038592,             0.37641,             0.33905,             0.28347,             0.12632,            0.050186,            0.024839,            0.028013,            0.008119,            0.008119,            0.008119
                  21,            0.053741,            0.041087,            0.038362,             0.35992,             0.34427,             0.28399,             0.12932,            0.049728,            0.024976,            0.026963,             0.00802,             0.00802,             0.00802
                  22,            0.053717,            0.041352,            0.038018,             0.37015,             0.34567,             0.28653,             0.13106,            0.049606,            0.024711,            0.026974,            0.007921,            0.007921,            0.007921
                  23,            0.053309,            0.041319,            0.037552,             0.37708,             0.36131,             0.30681,             0.13992,            0.048955,            0.024929,            0.025747,            0.007822,            0.007822,            0.007822
                  24,            0.053031,            0.040855,            0.036881,             0.38018,             0.35422,             0.30166,             0.13808,            0.048916,            0.024734,             0.02548,            0.007723,            0.007723,            0.007723
                  25,            0.052928,            0.040842,            0.036746,             0.41225,             0.35836,             0.31864,             0.14555,              0.0486,            0.024576,            0.025039,            0.007624,            0.007624,            0.007624
                  26,            0.052748,            0.041027,            0.036237,             0.40457,             0.36879,              0.3218,             0.14847,            0.048299,            0.024598,            0.025117,            0.007525,            0.007525,            0.007525
                  27,            0.052566,            0.041228,            0.036053,             0.40572,             0.37079,             0.33177,             0.15377,            0.048196,            0.024529,            0.024438,            0.007426,            0.007426,            0.007426
                  28,            0.052193,            0.040843,            0.035744,             0.41041,             0.37988,             0.34291,             0.16022,            0.047836,            0.024272,            0.023634,            0.007327,            0.007327,            0.007327
                  29,            0.052133,            0.040927,            0.035199,             0.41378,             0.37599,             0.34379,             0.16423,            0.047752,            0.024357,            0.023393,            0.007228,            0.007228,            0.007228
                  30,            0.052185,             0.04067,            0.034913,             0.42788,             0.38662,             0.35393,             0.16691,            0.047464,            0.024262,            0.023054,            0.007129,            0.007129,            0.007129
                  31,            0.051812,            0.040307,            0.034652,             0.42201,             0.39141,              0.3544,             0.16798,            0.047278,            0.024231,            0.022494,             0.00703,             0.00703,             0.00703
                  32,            0.051819,            0.040486,              0.0344,             0.43062,             0.39299,             0.36126,             0.17194,            0.047115,            0.024207,            0.022489,            0.006931,            0.006931,            0.006931
                  33,            0.051606,            0.040706,            0.033968,             0.42701,             0.39616,             0.36489,             0.17385,            0.046901,            0.024062,             0.02221,            0.006832,            0.006832,            0.006832
                  34,            0.051589,             0.04031,            0.033766,              0.4446,             0.40606,             0.37436,             0.17948,            0.046682,            0.024075,             0.02178,            0.006733,            0.006733,            0.006733
                  35,             0.05135,            0.040123,            0.033479,             0.44352,             0.41212,             0.37983,             0.18152,            0.046619,            0.023959,             0.02161,            0.006634,            0.006634,            0.006634
