               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09072,              0.0165,                   0,             0.13216,             0.16915,            0.051392,            0.017352,            0.071568,            0.013242,                   0,            0.070084,            0.003324,            0.003324
                   1,            0.071236,            0.015695,                   0,             0.16471,             0.19499,            0.071253,            0.030344,             0.06967,            0.012742,                   0,            0.040018,           0.0065914,           0.0065914
                   2,            0.069711,            0.015442,                   0,             0.15554,             0.24197,            0.066184,            0.031001,            0.068166,            0.012762,                   0,            0.009886,           0.0097929,           0.0097929
                   3,            0.069196,             0.01541,                   0,             0.18342,             0.16445,            0.068638,            0.031836,            0.067668,            0.013042,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.066806,            0.015531,                   0,              0.1708,             0.25115,            0.077221,            0.038346,            0.064684,            0.012819,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.06644,            0.015573,                   0,             0.17423,             0.25215,            0.081743,            0.042708,            0.064392,            0.012582,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.065156,            0.015486,                   0,             0.18253,              0.2392,            0.087559,            0.044726,            0.063546,            0.012743,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.06427,            0.015499,                   0,             0.18275,             0.25764,            0.088249,            0.044115,            0.063895,            0.012456,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.064051,            0.015301,                   0,             0.17887,             0.25998,            0.091555,            0.049764,            0.062558,            0.012646,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.064221,            0.015353,                   0,             0.19066,             0.26468,             0.10081,            0.055301,            0.061981,            0.012544,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.063484,            0.015598,                   0,             0.18563,             0.25607,            0.096505,            0.051939,            0.061385,            0.012589,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.063188,            0.015582,                   0,             0.19102,             0.24907,            0.093579,            0.049199,            0.061849,             0.01263,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.062724,            0.015576,                   0,             0.18451,             0.26938,            0.092712,            0.050605,            0.061055,            0.012496,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.062476,            0.015605,                   0,             0.18396,             0.25607,            0.097298,            0.053219,            0.062433,             0.01257,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.06241,            0.015473,                   0,             0.19542,             0.26312,            0.097635,            0.052753,            0.061219,            0.012678,                   0,            0.008713,            0.008713,            0.008713
                  15,              0.0624,            0.015366,                   0,             0.19518,             0.28049,             0.10262,             0.05463,            0.060256,             0.01255,                   0,            0.008614,            0.008614,            0.008614
