               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10108,            0.018843,                   0,          0.00048029,             0.14409,          0.00028011,          8.2366e-05,            0.099109,             0.01342,                   0,            0.070084,            0.003324,            0.003324
                   1,             0.09273,            0.016556,                   0,          0.00063819,             0.19107,          0.00062341,           0.0001853,            0.094571,            0.013321,                   0,            0.040018,           0.0065914,           0.0065914
                   2,            0.084655,            0.016435,                   0,            0.029681,            0.072827,           0.0073058,           0.0025899,            0.086268,            0.014438,                   0,            0.009886,           0.0097929,           0.0097929
                   3,            0.080711,            0.016033,                   0,             0.11112,            0.081441,            0.033314,            0.016848,               0.077,            0.013587,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.075805,            0.016123,                   0,             0.13473,             0.14174,            0.047883,            0.024329,            0.073015,            0.013607,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.074221,            0.016209,                   0,             0.15179,             0.15897,            0.051511,            0.024915,             0.07163,            0.013461,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.071928,             0.01608,                   0,             0.15236,             0.16366,            0.057451,            0.028614,            0.069367,            0.013446,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.070751,            0.016032,                   0,             0.13779,             0.20595,            0.058246,            0.029419,             0.06808,            0.013239,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.069603,            0.015794,                   0,             0.14625,             0.21222,            0.068031,            0.035423,            0.067101,            0.013049,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.069255,            0.015814,                   0,             0.16066,             0.22005,            0.075019,            0.041512,            0.065964,            0.013212,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.068059,            0.016001,                   0,             0.16586,             0.23571,            0.072988,            0.038054,             0.06482,            0.012947,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.067418,            0.015998,                   0,             0.17444,             0.22784,            0.082056,            0.041929,            0.064526,             0.01292,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.066768,            0.015952,                   0,             0.16401,             0.23884,            0.076661,            0.041973,            0.063993,            0.012976,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.066075,            0.015926,                   0,             0.18268,             0.21926,            0.085107,            0.048117,            0.063954,            0.013052,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.065836,            0.015766,                   0,             0.18371,             0.24443,            0.086341,            0.046858,            0.063189,            0.012962,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.06539,            0.015639,                   0,             0.18041,             0.24511,            0.086365,            0.046195,            0.062557,            0.012842,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.065007,            0.015831,                   0,             0.16984,             0.27565,            0.083209,            0.043818,            0.061961,            0.012914,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.064196,            0.015753,                   0,             0.18084,             0.25685,            0.094184,            0.051056,            0.061964,            0.012812,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.064619,            0.015796,                   0,             0.18806,             0.25842,            0.094131,             0.05088,            0.061171,            0.012733,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.064044,            0.015745,                   0,             0.18629,             0.25215,            0.089946,             0.05017,            0.061125,            0.013067,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.063659,             0.01569,                   0,             0.18327,             0.24003,            0.093111,            0.051024,            0.061315,             0.01289,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.06352,            0.015499,                   0,             0.19002,             0.26155,            0.092745,            0.052274,            0.060544,            0.012725,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.06319,            0.015587,                   0,             0.17805,             0.26782,             0.09812,            0.056186,            0.060578,            0.012719,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.063058,            0.015805,                   0,             0.17449,              0.2592,            0.095935,             0.05481,            0.060554,            0.012796,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.062526,            0.015633,                   0,              0.1891,             0.27721,            0.094445,            0.051263,            0.060664,             0.01272,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.062211,            0.015763,                   0,             0.20491,             0.24902,            0.098175,            0.054264,            0.060303,            0.012797,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.062099,             0.01563,                   0,              0.1959,             0.25294,            0.097064,            0.056077,            0.059739,            0.012763,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.061749,             0.01576,                   0,             0.18915,             0.28497,             0.10526,            0.058196,            0.059423,            0.012629,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.062043,            0.015449,                   0,             0.17706,             0.27095,            0.098066,            0.056684,            0.059629,            0.012767,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.06179,            0.015747,                   0,             0.18722,             0.27016,              0.1023,            0.056356,            0.059797,            0.012642,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.061534,            0.015633,                   0,              0.1885,             0.28348,             0.10689,            0.060533,            0.059251,            0.012662,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.060894,            0.015691,                   0,              0.1896,             0.27016,             0.10856,            0.061236,            0.059166,            0.012685,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.061124,            0.015551,                   0,             0.19335,             0.27878,             0.10908,            0.062705,            0.058747,            0.012602,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.060914,            0.015622,                   0,              0.2008,             0.27721,             0.10781,            0.061397,            0.058897,            0.012646,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.060736,            0.015561,                   0,             0.19765,             0.27486,             0.11036,            0.062812,            0.058778,            0.012647,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.060348,            0.015505,                   0,             0.19563,             0.27251,             0.11094,            0.064799,            0.058478,            0.012559,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.060621,            0.015441,                   0,             0.19686,             0.27966,             0.11311,            0.063556,            0.058568,            0.012536,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.060488,            0.015396,                   0,             0.20574,             0.26782,             0.11696,            0.066126,            0.058658,            0.012501,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.059973,            0.015396,                   0,             0.20766,             0.26938,             0.11654,            0.064641,            0.058462,            0.012559,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.059908,            0.015599,                   0,             0.19567,             0.27016,             0.11819,            0.067075,            0.058569,            0.012575,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.059324,            0.015622,                   0,             0.20193,             0.27173,             0.11461,            0.065481,            0.058439,            0.012508,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.059315,            0.015555,                   0,             0.20361,             0.27721,             0.11616,            0.065699,            0.058408,            0.012561,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.059347,             0.01574,                   0,             0.20088,             0.27408,             0.11303,            0.064373,            0.058393,            0.012565,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.059077,             0.01561,                   0,             0.20816,             0.27878,             0.11421,             0.06539,            0.058138,            0.012531,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.058849,             0.01553,                   0,             0.20754,             0.27878,             0.11226,            0.064478,            0.058064,            0.012494,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.059252,            0.015555,                   0,             0.19972,             0.28191,              0.1203,            0.068961,            0.057834,            0.012474,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.05853,            0.015651,                   0,             0.20404,             0.29209,             0.11476,            0.064644,            0.057972,            0.012531,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.058622,            0.015531,                   0,             0.19781,             0.28348,             0.11558,            0.066642,             0.05767,            0.012523,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.058195,            0.015563,                   0,             0.20798,             0.26468,             0.12085,            0.070589,            0.057937,            0.012502,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.058421,            0.015497,                   0,             0.21203,             0.27643,             0.11698,            0.067872,            0.057816,            0.012529,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.058145,            0.015499,                   0,             0.20538,             0.27643,             0.11755,            0.068402,            0.057672,            0.012515,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.058018,            0.015422,                   0,             0.20491,             0.26801,             0.11815,            0.068308,            0.057627,            0.012499,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.057803,            0.015524,                   0,             0.20493,             0.27408,             0.12045,            0.069674,             0.05771,            0.012453,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.057366,            0.015604,                   0,             0.20219,             0.28113,             0.12492,            0.072275,            0.057577,            0.012443,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.057121,            0.015468,                   0,             0.20212,             0.29041,             0.12233,            0.070316,            0.057578,            0.012451,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.057321,            0.015536,                   0,             0.19892,             0.29131,             0.12061,            0.069216,            0.057495,            0.012472,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.057296,            0.015532,                   0,             0.20562,             0.28348,             0.12124,            0.068997,            0.057677,            0.012474,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.056164,            0.015527,                   0,             0.21017,             0.28269,             0.12321,            0.070659,            0.057754,            0.012453,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.056394,            0.015311,                   0,             0.21157,             0.28034,             0.12375,            0.071857,            0.057616,            0.012452,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.056196,            0.015491,                   0,             0.20688,             0.27643,             0.12664,            0.073419,              0.0575,              0.0125,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.056719,            0.015564,                   0,             0.20481,             0.27251,             0.12795,            0.072866,            0.057488,            0.012512,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.056176,            0.015515,                   0,             0.20491,             0.28348,             0.12752,            0.072861,            0.057513,            0.012467,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.055616,            0.015554,                   0,             0.20514,             0.28896,             0.12581,            0.073276,            0.057468,            0.012471,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.055941,            0.015453,                   0,             0.20813,             0.28818,             0.12833,            0.074924,            0.057423,            0.012457,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.055712,            0.015451,                   0,             0.20901,              0.2961,             0.12754,            0.074437,            0.057569,            0.012445,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.055231,             0.01551,                   0,              0.2052,             0.29052,             0.12509,            0.072942,            0.057655,            0.012437,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.055088,            0.015709,                   0,             0.20374,             0.29679,             0.12677,            0.073679,            0.057616,            0.012427,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.055234,            0.015619,                   0,             0.20567,             0.29992,             0.12845,            0.074436,            0.057522,            0.012423,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.054632,            0.015512,                   0,             0.20484,             0.30149,              0.1275,            0.073921,            0.057498,            0.012426,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.054709,            0.015488,                   0,             0.20739,              0.3007,              0.1274,            0.074115,            0.057478,            0.012428,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.05465,            0.015565,                   0,             0.21009,             0.28818,             0.12773,            0.074237,            0.057489,             0.01244,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.053804,            0.015683,                   0,             0.20501,             0.29052,             0.12657,            0.074066,            0.057491,            0.012446,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.053886,            0.015558,                   0,             0.20608,             0.28348,             0.12737,            0.074572,            0.057476,            0.012465,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.054094,            0.015282,                   0,             0.21751,             0.28113,             0.12585,            0.073681,            0.057443,            0.012492,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.053361,            0.015595,                   0,             0.21142,             0.28504,             0.12633,            0.073077,            0.057491,            0.012482,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.053456,            0.015539,                   0,             0.21356,             0.29287,             0.12739,            0.074019,            0.057544,            0.012469,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.052948,            0.015401,                   0,             0.21312,             0.29992,             0.12788,            0.074252,            0.057649,            0.012451,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.052466,            0.015505,                   0,             0.21429,             0.29068,             0.12731,            0.074435,            0.057699,            0.012451,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.052201,            0.015678,                   0,             0.21688,             0.29444,              0.1273,            0.073854,            0.057679,            0.012455,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.051952,            0.015397,                   0,             0.21347,             0.28661,             0.12796,            0.074191,            0.057706,            0.012453,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.051604,            0.015405,                   0,             0.21414,             0.28896,             0.12822,            0.074313,            0.057709,            0.012454,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.051047,            0.015437,                   0,             0.21369,             0.28113,             0.12815,            0.074354,            0.057702,            0.012458,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.050844,             0.01527,                   0,             0.21311,             0.27188,             0.12859,            0.074526,            0.057726,            0.012458,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.050387,            0.015536,                   0,             0.21351,             0.27721,             0.12825,            0.075018,            0.057775,            0.012452,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.050853,            0.015164,                   0,             0.21303,             0.28113,             0.12879,            0.075251,            0.057812,            0.012446,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.050191,            0.015344,                   0,             0.21312,             0.28348,             0.12838,            0.075061,            0.057853,            0.012444,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.049723,            0.015364,                   0,             0.21305,             0.28269,              0.1289,            0.075054,            0.057876,            0.012441,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.049799,            0.015494,                   0,             0.21254,             0.28348,              0.1287,            0.075031,            0.057933,            0.012435,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.049403,            0.015269,                   0,             0.21344,             0.28348,              0.1288,            0.075198,            0.057982,             0.01243,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.048856,            0.015242,                   0,              0.2146,             0.28269,              0.1286,            0.075323,            0.058017,            0.012429,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.048353,            0.015144,                   0,              0.2158,             0.28269,             0.12836,            0.075021,            0.058064,             0.01243,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.048519,            0.015086,                   0,             0.21357,             0.28269,             0.12789,            0.075171,            0.058126,            0.012427,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.047581,            0.015006,                   0,             0.21295,             0.28426,              0.1282,               0.075,            0.058189,            0.012423,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.047032,            0.014923,                   0,              0.2132,             0.28426,             0.12831,            0.075049,            0.058247,            0.012418,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.046652,            0.015087,                   0,             0.21174,             0.28269,             0.12796,            0.074772,            0.058306,            0.012416,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.046378,            0.014647,                   0,              0.2132,             0.28113,             0.12825,             0.07493,            0.058351,            0.012416,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.045945,            0.014829,                   0,             0.21295,             0.28113,             0.12816,            0.074722,            0.058398,            0.012415,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.04578,            0.014822,                   0,             0.21311,             0.28113,             0.12774,            0.074692,             0.05845,            0.012416,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.045848,            0.014807,                   0,             0.21221,             0.28348,             0.12769,            0.074333,            0.058495,            0.012418,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.044981,             0.01466,                   0,             0.21143,             0.28155,             0.12781,             0.07438,            0.058544,            0.012419,                   0,            0.000298,            0.000298,            0.000298
